,City,Latitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,busselton,-33.65,57.0,48,33,20.0
1,diapaga,12.07,81.72,64,19,5.68
2,atuona,-9.8,79.7,72,0,17.74
3,east london,-33.02,63.9,37,0,6.91
4,chuy,-33.7,64.69,95,100,7.56
5,mataura,-46.19,39.0,83,96,3.0
6,ushuaia,-54.8,39.2,44,96,11.41
7,yar-sale,66.83,45.93,80,42,7.99
8,meadow lake,34.8,82.0,39,75,8.05
9,port lincoln,-34.73,49.24,81,1,9.64
10,khasan,42.43,67.91,89,14,10.27
11,jamestown,42.1,77.0,83,75,9.17
12,camacha,33.08,68.0,72,40,11.41
13,kaitangata,-46.28,37.99,77,39,8.01
14,vila franca do campo,37.72,66.2,72,40,4.7
15,yellowknife,62.46,66.99,93,90,9.17
16,geraldton,-28.77,59.0,93,90,1.12
17,chuchkovo,54.27,55.24,96,4,6.98
18,rikitea,-23.12,67.05,59,100,12.95
19,saryg-sep,51.5,53.47,90,2,2.04
20,sola,-13.88,78.22,78,47,18.77
21,new norfolk,-42.78,44.01,87,79,4.0
22,vaini,-21.2,75.2,73,75,5.82
23,kapaa,22.08,79.0,83,75,9.17
24,kodiak,57.79,66.2,45,20,18.34
25,lagoa,39.05,69.55,72,0,3.74
26,tucuman,-26.82,57.2,62,90,4.7
27,carauari,-4.88,79.43,62,48,2.15
28,hermanus,-34.42,52.0,92,0,1.01
29,ancud,-41.87,46.4,70,69,4.7
30,thompson,55.74,71.6,68,75,6.93
31,muravlenko,63.79,48.29,80,17,14.23
32,albany,42.6,84.0,69,78,2.39
33,saldanha,-33.01,53.6,87,0,3.36
34,qaqortoq,60.72,66.2,25,81,32.21
35,sept-iles,50.2,71.01,64,75,8.05
36,cidreira,-30.18,66.15,71,94,9.37
37,barrow,71.29,42.8,81,90,11.41
38,peace river,56.25,73.4,49,20,9.17
39,eskil,38.4,64.63,58,0,14.74
40,klaksvik,62.23,46.4,93,91,4.7
41,panaci,47.27,50.0,88,39,1.7
42,hobart,-42.88,44.6,75,75,8.05
43,punta arenas,-53.15,28.4,92,2,10.29
44,ugoofaaru,5.67,81.91,78,98,21.94
45,parauna,-16.95,72.1,36,0,4.25
46,vanimo,-2.67,82.51,70,3,5.61
47,norman wells,65.28,57.2,71,75,21.92
48,beidao,34.57,68.67,80,100,4.05
49,romitan,39.93,77.0,36,9,6.93
50,barcelona,41.39,79.0,78,20,2.24
51,bambanglipuro,-7.95,74.95,85,95,7.27
52,kakinada,16.93,79.74,85,100,4.65
53,noumea,-22.28,71.01,64,90,4.7
54,svarychiv,48.96,53.85,86,6,1.74
55,abha,18.22,71.6,49,31,5.55
56,nosy varika,-20.58,63.23,77,51,6.24
57,samarai,-10.62,77.65,82,18,11.21
58,port alfred,-33.59,63.43,63,0,9.66
59,pisco,-13.7,68.0,68,0,4.7
60,kudahuvadhoo,2.67,81.95,77,64,19.35
61,grindavik,63.84,50.0,81,75,6.93
62,puerto ayora,-0.74,69.01,91,83,10.0
63,dzhebariki-khaya,62.22,70.43,49,0,0.56
64,georgetown,5.41,77.0,94,20,5.82
65,codrington,-38.27,47.53,81,100,4.09
66,lompoc,34.64,68.0,64,3,13.87
67,muroto,33.28,78.8,88,75,1.12
68,biala podlaska,52.03,52.77,84,1,4.0
69,cherskiy,68.75,79.02,27,100,12.68
70,talaya,61.38,68.65,45,58,6.91
71,cape town,-33.93,55.99,100,0,2.24
72,upernavik,72.79,46.85,70,0,12.46
73,rock sound,24.9,83.59,78,94,17.58
74,landerneau,48.45,57.2,93,100,5.82
75,qaanaaq,77.48,47.91,53,0,0.94
76,longyearbyen,78.22,46.4,75,75,13.87
77,pevek,69.7,53.19,55,100,10.4
78,tubuala,9.52,82.4,78,75,6.93
79,port macquarie,-31.43,55.0,89,96,1.01
80,mount isa,-20.73,60.8,63,0,6.93
81,tiksi,71.69,53.24,80,78,4.47
82,bucerias,20.75,87.8,70,75,13.87
83,kloulklubed,7.04,77.0,88,75,7.11
84,victoria,22.29,84.99,79,55,3.0
85,atar,20.52,94.87,30,43,15.19
86,ewa beach,21.32,82.4,74,1,11.41
87,safaga,26.73,86.86,41,0,2.91
88,ballina,-28.87,55.4,82,90,8.05
89,mar del plata,-38.0,51.01,100,90,20.8
90,mattru,7.62,73.81,97,100,3.24
91,slave lake,55.28,69.8,73,20,2.24
92,castro,-24.79,59.31,75,98,2.17
93,poltavka,54.37,59.36,75,0,0.87
94,butaritari,3.07,83.48,76,70,14.92
95,ponta delgada,37.73,66.2,72,40,4.7
96,arraial do cabo,-22.97,69.8,88,40,2.24
97,canby,45.26,84.0,44,1,3.91
98,avarua,-21.21,77.0,94,5,12.75
99,bluff,-46.6,39.0,83,96,3.0
100,gat,31.61,77.0,63,0,1.72
101,bac lieu,9.29,80.47,78,100,1.23
102,beloha,-25.17,59.88,77,9,6.71
103,las palmas,28.42,73.4,83,7,12.75
104,yarensk,62.17,60.13,95,47,7.49
105,bethel,41.37,80.01,88,75,5.17
106,tasiilaq,65.61,41.0,86,30,5.82
107,rawson,-43.3,41.77,67,100,14.25
108,zapolyarnyy,69.42,51.8,93,75,17.22
109,hauterive,46.09,66.2,93,10,2.24
110,khatanga,71.97,47.28,80,100,16.02
111,iqaluit,63.75,46.4,100,90,2.24
112,moyamba,8.17,74.16,96,100,2.86
