,City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,gat,IL,31.61,34.76,77.0,62,0,2.73
1,hilo,US,19.73,-155.09,84.2,66,40,10.29
2,georgetown,MY,5.41,100.34,77.0,94,20,3.36
3,avarua,CK,-21.21,-159.78,75.2,64,86,10.29
4,mabilao,PH,16.15,120.42,83.35,73,24,3.33
5,taltal,CL,-25.4,-70.48,53.46,59,0,2.91
6,bluff,NZ,-46.6,168.33,50.38,81,100,16.62
7,ushuaia,AR,-54.8,-68.3,32.0,93,90,12.75
8,lubbock,US,33.6,-101.83,93.2,36,40,17.22
9,ahipara,NZ,-35.17,173.17,56.16,58,40,8.19
10,ramban,IN,33.25,75.25,68.05,68,3,2.8
11,torbay,CA,47.67,-52.73,55.99,100,90,10.29
12,saint pete beach,US,27.73,-82.74,84.2,88,90,8.05
13,kovur,IN,14.48,79.98,79.93,78,100,7.23
14,saskylakh,RU,71.92,114.08,46.53,84,100,9.48
15,fernley,US,39.61,-119.25,95.0,12,1,1.99
16,hithadhoo,MV,-0.6,73.08,78.57,82,100,8.63
17,port elizabeth,ZA,-33.92,25.57,48.2,66,0,4.7
18,albany,US,42.6,-73.97,84.99,58,33,2.42
19,lebu,CL,-37.62,-73.65,47.89,78,95,7.2
20,carnarvon,AU,-24.87,113.63,50.0,81,0,8.05
21,hofn,IS,64.25,-15.21,50.09,61,72,9.31
22,methoni,GR,36.82,21.7,82.0,64,0,2.24
23,kaitangata,NZ,-46.28,169.85,51.01,59,82,17.0
24,college,US,64.86,-147.8,62.6,67,90,11.41
25,strezhevoy,RU,60.73,77.59,48.2,87,50,6.71
26,esperance,AU,-33.87,121.9,42.8,100,20,16.11
27,rikitea,PF,-23.12,-134.97,68.23,71,17,15.79
28,dawlatabad,AF,36.41,64.91,76.48,28,0,3.94
29,punta arenas,CL,-53.15,-70.92,37.4,88,40,13.87
30,mantua,IT,45.17,10.78,64.99,91,99,7.92
31,hambantota,LK,6.12,81.12,75.2,100,75,3.36
32,mitu,CO,1.2,-70.17,76.95,79,43,2.08
33,jamestown,US,42.1,-79.24,77.0,73,1,10.29
34,flinders,AU,-34.58,150.86,57.99,87,69,8.99
35,chuy,UY,-33.7,-53.46,47.7,90,100,10.02
